,,,
,,,
,HD-OKÊ!!,
,,,
CANTOR,NÚMERO,MÚSICA
Anitta & Kevinho,30721,TERREMOTO
"Anitta, MC Zaac, J Balvin, Tropkillaz",30691,BOLA REBOLA
Ara Ketu,06560,VOLTA
Cristiano Araújo part. Hugo Henrique,30695,DELÍRIOS DE AMAR
"Dennis DJ, MC Kevinho",30687,AGORA É TUDO MEU
Diego e Victor Hugo,30699,INFARTO
Dilsinho,30685,12 HORAS
Dilsinho,30710,PÉSSIMO NEGÓCIO
Djavan,30686,ACELEROU
Gabriel Diniz,30700,JENIFER
Gustavo Mioto,30715,RELÓGIO
Gustavo Mioto,30720,SOLTEIRO NÃO TRAI
Gusttavo Lima,30698,EU NÃO IRIA
Gusttavo Lima,30703,MIL VEZES CANTAREI
Gusttavo Lima,30716,RESPEITA O NOSSO FIM
Henrique e Juliano,30722,VAI QUE BEBEREIS
Jefferson Moraes part. Maraisa,30707,OI NEGO
Joelma part. Marilia Mendonça,30709,PERDEU A RAZÃO
Jonas Esticado part. Felipe Araújo,30718,SAUDADE BOA
Lauana Prado part. Maiara e Maraísa,30694,COBAIA
Lexa e MC Lan,30717,SAPEQUINHA
Luan Santana part. MC Kekel,30723,VINGANÇA
Ludmilla part. Felipe Araújo,30693,CLICHÊ
Luísa Sonza,30690,BOA MENINA
Luísa Sonza,30696,DEVAGARINHO
Maiara e Maraisa,30705,NÃO ABRO MÃO
Marília Mendonça,30689,BEM PIOR QUE EU
Marília Mendonça,30719,SEM SAL
Matheus e Kauan,30692,"CERVEJA, SAL E LIMÃO"
MC Kevin O Chris,30702,MEDLEY DA GAIOLA (DENNIS DJ REMIX)
MC Kevinho e MC Kekel,30706,O BEBÊ
MC L da Vinte e MC Gury,30708,PARADO NO BAILÃO
MC Pocahontas e MC Mirella,30714,QUER MAIS?
Micael,30701,ME SINTO TÃO BEM
Rouge,30697,DONA DA MINHA VIDA
Simone e Simaria part. Ludmilla,30713,QUALIDADE DE VIDA
Tribalistas,30688,ALIANÇA
Whadi Gama,30711,PISCININHA AMOR
Yasmin Santos,30712,PRONTA PRA TRAIR
Zé Neto e Cristiano,30704,MORADOR DE RUA
,,,
,Página 1 de 1,
